,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
13,Belgium,Unemployment rate,Percent of total labor force,,Source: Central Bank. Some indicators have been affected by the benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.908,8.325,7.15,7.55,8.45,8.55,8.492,7.842,7.108,5.958,5.358,7.3,6.8,2019.0
14,Belgium,General government net lending/borrowing,Percent of GDP,,"Source: Central Bank Latest actual data: 2018 Fiscal assumptions: Projections are based on the 2019-22 Stability Programme, the Draft Budgetary Plan 2020, and other available information on the authorities? fiscal plans, with adjustments for IMF staff assumptions. Start/end months of reporting year: January/December GFS Manual used: European System of Accounts (ESA) 2010 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds; Other; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",-0.079,0.233,-0.044,-1.864,-0.239,-2.715,0.239,0.067,-1.095,-5.431,-4.088,-4.33,-4.319,-3.129,-3.056,-2.414,-2.365,-0.708,-0.74,-1.658,-8.875,-6.049,2018.0
15,Belgium,Current account balance,Percent of GDP,,"Source: Central Bank. Data are subject to frequent and sizable revisions. The latest took place in Sept-Oct 2019 covering 2015-18, and retropolated to 2009. Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",3.965,3.335,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.657,1.624,-1.94,-0.081,0.955,0.772,1.383,0.551,1.226,-1.385,-1.227,-0.702,-1.078,2019.0
16,Cyprus,"Gross domestic product, constant prices",Percent change,,"Source: Eurostat Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995",5.965,3.953,3.723,2.624,5.025,4.854,4.714,5.096,3.648,-2.016,2.015,0.402,-3.448,-6.551,-1.865,3.376,6.746,4.362,4.057,3.23,-6.471,5.594,2019.0
17,Cyprus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Eurostat Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995",16.791,17.837,18.794,19.645,21.188,22.909,24.715,26.672,28.183,27.825,28.716,29.434,28.964,27.542,27.528,28.754,31.011,32.973,35.147,36.915,34.745,37.404,2019.0
18,Cyprus,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: Eurostat Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995",4.793,2.902,2.548,1.447,3.692,3.399,3.173,3.169,1.189,-4.549,-0.751,-2.062,-5.941,-6.969,-0.964,4.717,6.581,3.57,2.921,1.855,-7.527,4.402,2019.0
19,Cyprus,"Inflation, average consumer prices",Percent change,,Source: Haver. Haver seasonally adjusts non-seasonally adjusted Eurostat Data. Latest actual data: 2019 Harmonized prices: Yes. 2015=100 Frequency of source data: Monthly Base year: 2015,4.858,1.988,2.781,3.978,1.896,2.026,2.252,2.171,4.384,0.18,2.559,3.481,3.088,0.384,-0.269,-1.544,-1.218,0.682,0.782,0.556,0.7,1,2019.0
20,Cyprus,"Inflation, end of period consumer prices",Percent change,,Source: Haver. Haver seasonally adjusts non-seasonally adjusted Eurostat Data. Latest actual data: 2019 Harmonized prices: Yes. 2015=100 Frequency of source data: Monthly Base year: 2015,3.749,2.163,3.111,2.304,3.855,1.426,1.499,3.835,1.962,1.773,2.135,4.379,1.604,-1.128,-0.883,-0.49,0.111,-0.352,1.069,0.778,0.8,1,2019.0
21,Cyprus,Unemployment rate,Percent of total labor force,,"Source: Eurostat, Labor force survey. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020",4.842,3.925,3.517,4.108,4.625,5.3,4.55,3.925,3.65,5.325,6.275,7.85,11.8,15.85,16.075,14.9,12.95,11.05,8.35,7.075,8.824,7.378,2019.0
22,Cyprus,General government net lending/borrowing,Percent of GDP,,"Source: EUROSTAT until 2014. CYSTAT thereafter. The fiscal balances in 2014 and 2015 exclude the Euro 1.5 billion and Euro 0.175 billion coop recapitalizations, respectively, to better capture the underlying fiscal position. For 2015 and thereafter, FISIM on ESM loans is included in intermediate consumption rather than in the interest payment. Latest actual data: 2019 Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable. Net debt is derived as Maastricht definition gross debt minus assets in the form of currency and deposits and loans and debt securities (from Government Finance Statistics data up to 2009 and from IFS from 2010. Fiscal assumptions: Projections are based on staff's assessment of authorities' budget plans and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: European System of Accounts (ESA) 2010 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds;. Extra-Budgetary Funds and entities referred as semi-public entities in the national classification are also covered as part of the Central Government fiscal information. Valuation of public debt: Face value",-2.24,-2.107,-4.131,-5.907,-3.712,-2.224,-1.041,3.228,0.866,-5.433,-4.697,-5.666,-5.566,-5.173,-0.234,0.013,0.089,1.662,-4.377,2.749,-1.809,1.935,2019.0
23,Cyprus,Current account balance,Percent of GDP,,"Source: Central Bank. Other, Eurostat Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-4.899,-3.037,-3.444,-2.042,-4.548,-5.315,-6.287,-10.65,-14.74,-6.688,-10.733,-2.315,-3.868,-1.474,-4.074,-0.45,-4.216,-5.098,-4.405,-6.715,-8.286,-5.604,2019.0
24,Estonia,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010",10.106,5.98,6.802,7.567,6.767,9.49,9.719,7.574,-5.089,-14.434,2.69,7.444,3.125,1.346,2.987,1.845,2.632,5.749,4.761,4.334,-7.5,7.874,2019.0
25,Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010",16.974,18.383,19.944,21.852,23.959,27.05,30.577,33.776,32.681,28.177,29.272,32.108,33.746,34.801,36.504,37.564,38.952,41.967,45.036,47.807,44.503,48.943,2019.0
26,Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010",9.575,6.657,7.481,8.244,7.408,10.119,10.368,8.065,-4.834,-14.269,2.925,7.771,3.495,1.707,3.195,1.84,2.602,5.621,4.397,4.111,-7.547,7.845,2019.0
27,Estonia,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,3.932,5.626,3.588,1.387,3.038,4.117,4.444,6.745,10.606,0.199,2.741,5.08,4.219,3.247,0.476,0.068,0.8,3.651,3.412,2.268,1.5,2,2019.0
28,Estonia,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,5.036,4.208,2.703,1.19,4.799,3.663,5.101,9.734,7.536,-1.873,5.421,4.087,3.638,2.049,0.061,-0.171,2.353,3.76,3.319,1.795,1.5,2,2019.0
29,Estonia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,14.598,13.009,11.227,10.342,10.14,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351,6.185,6.758,5.763,5.371,4.435,6,4.69,2019.0
30,Estonia,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2019 Notes: gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable Fiscal assumptions: The forecast, which is cash-, not accrual-, based, incorporates the authorities? 2019 budget, adjusted for newly available information and for the staff?s macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Hybrid of 1986 and 2001 manuals used Basis of recording: Cash General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. This is the format of data provided by the authorities.",-0.087,0.179,0.401,1.793,2.371,1.115,2.897,2.693,-2.647,-2.172,0.185,1.147,-0.256,-0.169,0.681,0.069,-0.331,-0.38,-0.462,-0.396,-8.294,-3.028,2019.0
31,Estonia,Current account balance,Percent of GDP,,"Source: Central Bank Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-5.403,-7.095,-11.06,-12.865,-11.924,-8.683,-14.937,-14.862,-8.646,2.536,1.769,1.304,-1.883,0.29,0.711,1.761,1.656,2.673,1.984,1.745,-2.688,-1.913,2019.0
32,Finland,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2018 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980",5.773,2.61,1.707,2.004,3.992,2.78,4.028,5.299,0.784,-8.075,3.186,2.548,-1.397,-0.902,-0.365,0.544,2.711,3.101,1.63,0.98,-6.031,3.096,2018.0
33,Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2018 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980",142.165,149.075,154.018,160.022,170.889,181.11,194.107,209.884,215.644,199.742,208.508,218.286,219.364,221.2,224.471,228.041,236.647,248.58,258.786,265.879,251.431,264.27,2018.0
34,Finland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2018 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980",5.535,2.415,1.437,1.78,3.724,2.448,3.653,4.872,0.337,-8.52,2.702,2.093,-1.872,-1.366,-0.814,0.167,2.419,2.801,1.448,0.892,-6.212,2.907,2018.0
35,Finland,"Inflation, average consumer prices",Percent change,,"Source: National Statistics Office. Eurostat, downloaded through Haver Analytics Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015",2.952,2.665,2.007,1.29,0.147,0.774,1.275,1.583,3.916,1.634,1.686,3.324,3.162,2.216,1.209,-0.156,0.389,0.839,1.169,1.137,0.94,1.676,2019.0
36,Finland,"Inflation, end of period consumer prices",Percent change,,"Source: National Statistics Office. Eurostat, downloaded through Haver Analytics Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015",2.869,2.35,1.716,1.191,0.147,1.016,1.236,1.939,3.381,1.806,2.766,2.605,3.449,1.933,0.552,-0.249,1.1,0.505,1.319,1.137,0.775,2.018,2019.0
37,Finland,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,9.875,9.2,9.175,9.075,8.875,8.475,7.775,6.95,6.425,8.325,8.5,7.775,7.683,8.192,8.658,9.375,8.792,8.575,7.417,6.717,8.265,8.383,2018.0
38,Finland,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2018 Fiscal assumptions: Based on announced policies by the authorities, adjusted for the Staff macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. Nominal Value debt valuation is consistent with Eurostat's definition Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;. Data reported are based on the Maastricht definition. It covers all general governments in the sense of the national accounts: the State, other government bodies (ODAC), local governments and social security administrations. It does not include all financial liabilities but only cash and deposits, securities other than shares as well as loans; excluded are derivative products and other accounts payable.",6.727,4.891,3.973,2.339,2.157,2.589,3.924,5.115,4.18,-2.484,-2.534,-1.019,-2.156,-2.525,-2.987,-2.425,-1.727,-0.687,-0.828,-1.36,-6.703,-3.836,2018.0
39,Finland,Current account balance,Percent of GDP,,"Source: National Statistical Office Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",7.158,7.675,7.818,4.314,5.603,2.877,3.931,4.028,2.543,1.996,1.489,-1.44,-2.055,-1.798,-1.332,-0.937,-2.026,-0.759,-1.368,-0.1,-3.479,-2.974,2018.0
40,France,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980",3.924,1.984,1.136,0.823,2.83,1.663,2.449,2.425,0.255,-2.873,1.949,2.193,0.313,0.576,0.956,1.113,1.095,2.26,1.725,1.31,-7.18,4.47,2018.0
41,France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980","1,675.71","1,746.43","1,794.21","1,842.57","1,945.72","2,039.69","2,152.89","2,264.33","2,314.25","2,264.90","2,335.95","2,437.04","2,491.56","2,549.89","2,621.91","2,678.69","2,736.08","2,850.61","2,970.43","3,061.82","2,860.02","3,046.13",2018.0
42,France,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980",3.285,1.281,0.425,0.125,2.144,0.9,1.721,1.769,-0.293,-3.388,1.463,1.698,-0.171,0.068,0.436,0.684,0.832,1.991,1.57,1.179,-7.424,4.186,2018.0
43,France,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Notes: The original CPI index implies an inflation rate of 16.1 percent in 1990. WEO official inflation figure as smoothed by staff. Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.815,1.783,1.94,2.168,2.336,1.887,1.892,1.608,3.16,0.101,1.738,2.289,2.213,0.99,0.612,0.09,0.305,1.162,2.1,1.3,0.288,0.699,2019.0
44,France,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Notes: The original CPI index implies an inflation rate of 16.1 percent in 1990. WEO official inflation figure as smoothed by staff. Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.806,1.496,2.185,2.407,2.243,1.727,1.675,2.787,1.164,0.988,1.988,2.645,1.509,0.839,0.1,0.301,0.819,1.258,1.908,1.623,-0.698,1.321,2019.0
45,France,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/2020,9.175,8.458,8.275,8.508,8.825,8.892,8.825,7.983,7.458,9.083,9.25,9.2,9.758,10.3,10.283,10.367,10.042,9.425,9.025,8.45,10.398,10.397,2019.0
46,France,General government net lending/borrowing,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2018 Fiscal assumptions: Estimates for 2019 and projections for 2020 onwards are based on the measures of the 2018 budget law, the 2019 budget law, the 2020 budget law, and the March 2020 amending budget law, adjusted for differences in assumptions on macro and financial variables, and revenue projections. Historical fiscal data reflect the May 2019 revisions and update of the historical fiscal accounts, debt data, and national accounts. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Other; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",-1.318,-1.379,-3.16,-4.015,-3.591,-3.356,-2.444,-2.636,-3.264,-7.175,-6.887,-5.155,-4.981,-4.084,-3.905,-3.625,-3.542,-2.771,-2.274,-3.015,-9.172,-6.243,2018.0
47,France,Current account balance,Percent of GDP,,"Source: Central Bank Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",1.099,1.575,1.148,0.836,0.533,0.104,0.253,-0.102,-0.696,-0.55,-0.629,-0.859,-0.965,-0.51,-0.956,-0.368,-0.486,-0.714,-0.643,-0.758,-0.725,-0.599,2019.0
48,Germany,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991. From 1991.",2.905,1.689,-0.201,-0.708,1.186,0.728,3.815,2.975,0.965,-5.694,4.185,3.913,0.428,0.431,2.218,1.742,2.23,2.465,1.522,0.565,-6.952,5.151,2019.0
49,Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991. From 1991.","2,432.41","2,527.73","2,562.55","2,591.67","2,693.01","2,797.11","2,991.70","3,163.47","3,256.12","3,094.11","3,261.15","3,459.55","3,540.98","3,618.63","3,767.35","3,872.88","4,000.24","4,176.04","4,342.91","4,443.57","4,160.93","4,460.55",2019.0
50,Germany,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991. From 1991.",2.862,1.613,-0.276,-0.671,1.301,0.876,4.024,3.206,1.25,-5.365,4.443,3.925,0.239,0.157,1.792,0.866,1.408,2.083,1.218,0.322,-6.961,5.215,2019.0
51,Germany,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.413,1.911,1.295,1.084,1.75,1.939,1.795,2.29,2.726,0.246,1.119,2.501,2.141,1.607,0.761,0.671,0.375,1.711,1.951,1.346,0.322,1.183,2019.0
52,Germany,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,2.041,1.375,0.986,1.099,2.174,2.128,1.389,3.082,0.997,0.877,1.848,2.241,2.192,1.328,0.202,0.201,1.707,1.481,1.751,1.53,0.203,1.34,2019.0
53,Germany,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,7.95,7.8,8.6,9.708,10.333,11.008,10.042,8.567,7.383,7.667,6.933,5.858,5.367,5.233,5.008,4.625,4.158,3.758,3.4,3.158,3.886,3.452,2019.0
54,Germany,General government net lending/borrowing,Percent of GDP,,"Source: National Statistics Office. Data of general government gross debt comes from EUROSTAT Latest actual data: 2019. The latest actual data of general government debt is 2019. Fiscal assumptions: The IMF staff?s projections for 2020 and beyond are based on the 2020 draft budgetary plan and data updates from the national statistical agency and ministry of finance, adjusted for the differences in the IMF staff's macroeconomic framework and assumptions concerning revenue elasticities.  The estimate of gross debt includes portfolios of impaired assets and noncore business transferred to institutions that are winding up, as well as other financial sector and EU support operations. Start/end months of reporting year: January/December GFS Manual used: European System of Accounts (ESA) 2010 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds;. other refers to special funds Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",-1.585,-3.025,-3.875,-3.704,-3.334,-3.319,-1.653,0.261,-0.116,-3.151,-4.379,-0.881,0.009,0.04,0.58,0.943,1.184,1.242,1.867,1.449,-5.523,-1.193,2019.0
55,Germany,Current account balance,Percent of GDP,,"Source: Central Bank. Additional source: IMF Statistics Department Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-1.761,-0.368,1.891,1.414,4.52,4.673,5.772,6.861,5.692,5.836,5.744,6.213,7.129,6.557,7.204,8.59,8.509,7.824,7.397,7.146,6.58,6.662,2019.0
